open_time,open,high,low,close,volume,close_time,quote_volume,MACD,Signal,MACD_Histogram
2023-07-29 20:00:00,2.3598,2.364,2.3455,2.3583,2706362,2023-07-29 20:59:59.999,6380320.0944,0.038874601577819856,0.03300049390196666,0.005874107675853196
2023-07-29 21:00:00,2.3584,2.3633,2.33,2.3417,4206010,2023-07-29 21:59:59.999,9870828.2767,0.03779884425969726,0.03396016397351278,0.003838680286184483
2023-07-29 22:00:00,2.3418,2.3569,2.3417,2.3475,1977056,2023-07-29 22:59:59.999,4647471.8642,0.03698793645479004,0.034565718469768233,0.0024222179850218045
2023-07-29 23:00:00,2.3476,2.36,2.3375,2.3451,1797816,2023-07-29 23:59:59.999,4220960.859,0.035739641890207174,0.03480050315385602,0.0009391387363511527
2023-07-30 00:00:00,2.3451,2.4948,2.3352,2.4126,18643732,2023-07-30 00:59:59.999,45025389.7016,0.03973895934655669,0.03578819439239616,0.003950764954160531
2023-07-30 01:00:00,2.413,2.4391,2.3945,2.4284,7651876,2023-07-30 01:59:59.999,18489212.6452,0.04367986095085863,0.03736652770408865,0.006313333246769977
2023-07-30 02:00:00,2.4285,2.48,2.4201,2.4257,10341065,2023-07-30 02:59:59.999,25261315.4072,0.046054301114333285,0.03910408238613758,0.006950218728195706
2023-07-30 03:00:00,2.4257,2.4269,2.395,2.4161,6037016,2023-07-30 03:59:59.999,14547104.4163,0.04662397017558195,0.040608059944026456,0.006015910231555496
2023-07-30 04:00:00,2.4161,2.4161,2.3828,2.4143,4237868,2023-07-30 04:59:59.999,10189990.1241,0.04639537505062741,0.04176552296534665,0.004629852085280758
2023-07-30 05:00:00,2.4143,2.4384,2.4035,2.427,4719097,2023-07-30 05:59:59.999,11439267.1166,0.0467006594963113,0.04275255027153958,0.00394810922477172
2023-07-30 06:00:00,2.427,2.4472,2.3815,2.391,8938848,2023-07-30 06:59:59.999,21582930.3682,0.043535846346960394,0.042909209486623745,0.000626636860336649
2023-07-30 07:00:00,2.391,2.4079,2.3627,2.3944,6243264,2023-07-30 07:59:59.999,14920485.5597,0.04083138195533831,0.04249364398036666,-0.001662262025028352
2023-07-30 08:00:00,2.3944,2.401,2.375,2.3901,4689918,2023-07-30 08:59:59.999,11196829.1813,0.03790416476013192,0.041575748136319715,-0.0036715833761877953
2023-07-30 09:00:00,2.3901,2.42,2.3797,2.4046,4669133,2023-07-30 09:59:59.999,11210165.3695,0.03633549983784601,0.040527698476624976,-0.004192198638778968
2023-07-30 10:00:00,2.4046,2.4288,2.3642,2.3716,8941929,2023-07-30 10:59:59.999,21380531.4196,0.032059930456136865,0.03883414487252736,-0.006774214416390492
2023-07-30 11:00:00,2.3717,2.384,2.3357,2.365,7101272,2023-07-30 11:59:59.999,16771092.4355,0.027818274325667414,0.03663097076315537,-0.008812696437487957
2023-07-30 12:00:00,2.365,2.3715,2.3497,2.3636,3962705,2023-07-30 12:59:59.999,9354059.6929,0.02406634118269979,0.03411804484706426,-0.010051703664364468
2023-07-30 13:00:00,2.3635,2.3707,2.3032,2.3196,8738426,2023-07-30 13:59:59.999,20392902.1278,0.017342560615614566,0.030762948000774323,-0.013420387385159757
2023-07-30 14:00:00,2.3197,2.3331,2.28,2.3198,8210473,2023-07-30 14:59:59.999,18977914.5757,0.011892959765441358,0.02698895035370773,-0.015095990588266373
2023-07-30 15:00:00,2.3197,2.337,2.2999,2.3071,4666483,2023-07-30 15:59:59.999,10817168.0894,0.006474691751596762,0.02288609863328554,-0.016411406881688777
2023-07-30 16:00:00,2.307,2.32,2.2869,2.2987,5242124,2023-07-30 16:59:59.999,12055148.4015,0.0014857388432956142,0.018606026675287556,-0.017120287831991942
2023-07-30 17:00:00,2.2987,2.3088,2.285,2.2933,2796403,2023-07-30 17:59:59.999,6413651.2212,-0.0028706856728177854,0.014310684205666488,-0.017181369878484273
2023-07-30 18:00:00,2.2933,2.319,2.268,2.2792,4539595,2023-07-30 18:59:59.999,10412589.9051,-0.007375910741877156,0.00997336521615776,-0.017349275958034916
2023-07-30 19:00:00,2.2791,2.2794,2.2363,2.252,5447396,2023-07-30 19:59:59.999,12317144.8394,-0.012991390089523769,0.005380414155021455,-0.018371804244545223
2023-07-30 20:00:00,2.252,2.2537,2.221,2.2415,7259569,2023-07-30 20:59:59.999,16230888.4807,-0.018080538979110106,0.000688223528195143,-0.018768762507305248
